Time (seconds),x,y,z
0.77,-564,-404,684
0.77,-564,-404,684
0.77,-564,-404,684
0.78,-648,-348,528
0.78,-648,-348,528
0.79,-648,-348,528
0.80,-656,-388,676
0.80,-656,-388,676
0.81,-656,-388,676
0.82,-780,-348,696
0.82,-780,-348,696
0.83,-780,-348,696
0.84,-548,-380,768
0.86,-636,-416,532
0.87,-636,-416,532
0.88,-580,-468,468
0.89,-580,-468,468
0.89,-580,-468,468
0.89,-712,-592,448
0.90,-712,-592,448
0.91,-712,-592,448
0.91,-712,-592,448
0.91,-572,-488,632
0.92,-572,-488,632
0.93,-572,-488,632
0.93,-572,-488,632
0.95,-504,-512,596
0.96,-504,-512,596
0.97,-504,-512,596
0.97,-504,-512,596
0.98,-468,-504,468
0.98,-468,-504,468
0.99,-468,-504,468
0.99,-732,-484,436
1.00,-732,-484,436
1.01,-732,-484,436
1.01,-912,-452,560
1.02,-912,-452,560
1.03,-912,-452,560
1.04,-848,-480,412
1.06,-712,-568,188
1.07,-712,-568,188
1.08,-696,-588,160
1.08,-696,-588,160
1.09,-696,-588,160
1.09,-696,-588,160
1.09,-668,-612,244
1.10,-668,-612,244
1.10,-668,-612,244
1.11,-668,-612,244
1.11,-668,-612,244
1.11,-804,-468,244
1.12,-804,-468,244
1.14,-700,-500,132
1.15,-700,-500,132
1.15,-700,-500,132
1.16,-504,-620,-92
1.17,-504,-620,-92
1.17,-504,-620,-92
1.18,-800,-592,56
1.19,-800,-592,56
1.19,-800,-592,56
1.20,-740,-616,12
1.21,-740,-616,12
1.21,-740,-616,12
1.22,-692,-564,-264
1.23,-692,-564,-264
1.25,-624,-564,-204
1.26,-548,-636,372
1.26,-548,-636,372
1.27,-548,-636,372
1.27,-548,-636,372
1.27,-964,-588,-208
1.28,-964,-588,-208
1.28,-964,-588,-208
1.29,-964,-588,-208
1.29,-964,-588,-208
1.29,-620,-572,76
1.30,-620,-572,76
1.30,-620,-572,76
1.33,-456,-676,-444
1.33,-456,-676,-444
1.33,-504,-644,-456
1.34,-504,-644,-456
1.35,-504,-644,-456
1.35,-324,-628,-560
1.36,-324,-628,-560
1.37,-324,-628,-560
1.37,-204,-620,-808
1.38,-204,-620,-808
1.39,-204,-620,-808
1.40,-240,-712,-1076
1.41,-240,-712,-1076
1.43,-256,-768,-920
1.44,-376,-756,-964
1.45,-376,-756,-964
1.45,-376,-756,-964
1.45,-248,-648,-836
1.46,-248,-648,-836
1.46,-248,-648,-836
1.47,-248,-648,-836
1.47,-248,-648,-836
1.47,-88,-584,-580
1.48,-88,-584,-580
1.48,-88,-584,-580
1.49,-88,-584,-580
1.51,-84,-568,-716
1.51,-368,-480,-652
1.52,-368,-480,-652
1.53,-368,-480,-652
1.54,-268,-580,-392
1.55,-268,-580,-392
1.55,-72,-640,-1020
1.56,-72,-640,-1020
1.57,-72,-640,-1020
1.58,-32,-552,-812
1.59,-32,-552,-812
1.59,-88,-468,-460
1.60,-88,-468,-460
1.63,260,-276,-1332
1.63,456,-496,-784
1.64,456,-496,-784
1.64,456,-496,-784
1.65,456,-496,-784
1.65,456,-496,-784
1.65,216,-476,-968
1.66,216,-476,-968
1.66,216,-476,-968
1.67,216,-476,-968
1.67,216,-476,-968
1.67,-208,-544,-968
1.68,-208,-544,-968
1.70,400,-364,-1152
1.71,540,-384,-984
1.72,540,-384,-984
1.73,540,-384,-984
1.73,408,-240,-904
1.74,408,-240,-904
1.75,-20,-296,-1092
1.76,-20,-296,-1092
1.77,-20,-296,-1092
1.78,184,-356,-1064
1.78,184,-356,-1064
