Time (seconds),light
1.09,-454.1935
1.10,-443.871
1.10,-443.871
1.11,-443.871
1.11,-443.871
1.11,-454.1935
1.12,-454.1935
1.12,-443.871
1.13,-454.1935
1.13,-443.871
1.13,-454.1935
1.14,-454.1935
1.14,-454.1935
1.15,-443.871
1.15,-454.1935
1.15,-443.871
1.16,-443.871
1.18,-443.871
1.19,-454.1935
1.19,-443.871
1.19,-443.871
1.20,-443.871
1.20,-454.1935
1.21,-443.871
1.21,-454.1935
1.21,-443.871
1.22,-454.1935
1.22,-454.1935
1.23,-443.871
1.23,-443.871
1.23,-443.871
1.24,-443.871
1.24,-443.871
1.25,-443.871
1.25,-454.1935
1.27,-454.1935
1.28,-443.871
1.28,-454.1935
1.29,-454.1935
1.29,-454.1935
1.29,-454.1935
1.30,-443.871
1.30,-443.871
1.31,-443.871
1.31,-454.1935
1.31,-443.871
1.32,-454.1935
1.32,-454.1935
1.33,-454.1935
1.33,-454.1935
1.33,-443.871
1.34,-454.1935
1.36,-443.871
1.37,-443.871
1.37,-454.1935
1.37,-443.871
1.38,-454.1935
1.38,-443.871
1.39,-443.871
1.39,-454.1935
1.39,-443.871
1.40,-443.871
1.40,-454.1935
1.41,-454.1935
1.41,-443.871
1.41,-443.871
1.42,-454.1935
1.42,-443.871
1.43,-454.1935
1.43,-454.1935
1.45,-443.871
1.46,-454.1935
1.46,-454.1935
1.47,-443.871
1.47,-454.1935
1.47,-454.1935
1.48,-454.1935
1.48,-454.1935
1.49,-454.1935
1.49,-443.871
1.49,-454.1935
1.50,-454.1935
1.50,-454.1935
1.51,-454.1935
1.51,-454.1935
1.51,-443.871
1.52,-454.1935
1.54,-454.1935
1.55,-454.1935
1.55,-454.1935
1.55,-443.871
1.56,-454.1935
1.56,-443.871
1.57,-443.871
1.57,-443.871
1.57,-443.871
1.58,-454.1935
1.58,-443.871
1.59,-454.1935
1.59,-443.871
1.59,-454.1935
1.60,-443.871
1.60,-454.1935
1.61,-454.1935
1.61,-454.1935
1.63,-454.1935
1.64,-454.1935
1.64,-454.1935
1.65,-454.1935
1.65,-443.871
1.65,-443.871
1.66,-454.1935
1.66,-454.1935
1.67,-443.871
1.67,-454.1935
1.67,-443.871
1.68,-454.1935
1.68,-443.871
1.69,-443.871
1.69,-443.871
1.69,-454.1935
1.70,-443.871
1.72,-443.871
1.73,-454.1935
1.73,-443.871
1.73,-443.871
1.74,-454.1935
1.74,-443.871
1.75,-443.871
1.75,-454.1935
1.75,-443.871
1.76,-454.1935
1.76,-454.1935
1.77,-443.871
1.77,-454.1935
1.77,-454.1935
1.78,-454.1935
1.78,-454.1935
1.79,-443.871
1.79,-454.1935
1.81,-454.1935
1.82,-454.1935
1.82,-454.1935
1.83,-443.871
1.83,-443.871
1.83,-454.1935
1.84,-454.1935
1.84,-443.871
1.85,-443.871
1.85,-454.1935
1.85,-454.1935
1.86,-454.1935
1.86,-454.1935
1.87,-454.1935
1.87,-454.1935
1.87,-443.871
1.88,-454.1935
1.90,-454.1935
1.91,-443.871
1.91,-454.1935
1.91,-443.871
1.92,-454.1935
1.92,-454.1935
1.93,-454.1935
1.93,-454.1935
1.93,-443.871
1.94,-443.871
1.94,-454.1935
1.95,-454.1935
1.95,-454.1935
1.95,-443.871
1.96,-443.871
1.96,-454.1935
1.97,-454.1935
1.97,-443.871
1.99,-443.871
2.00,-454.1935
2.00,-454.1935
2.01,-443.871
2.01,-443.871
2.01,-443.871
2.02,-454.1935
2.02,-443.871
2.03,-454.1935
2.03,-443.871
2.03,-454.1935
2.04,-443.871
2.04,-454.1935
2.05,-454.1935
2.05,-443.871
2.05,-443.871
2.06,-454.1935
2.06,-443.871
2.09,-443.871
2.09,-443.871
2.09,-454.1935
2.10,-443.871
2.10,-454.1935
2.11,-443.871
2.11,-454.1935
2.11,-443.871
2.12,-443.871
2.12,-443.871
2.13,-454.1935
2.13,-443.871
2.13,-443.871
2.14,-443.871
2.14,-443.871
2.15,-443.871
2.15,-443.871
2.15,-454.1935
2.18,-454.1935
2.18,-443.871
2.19,-443.871
2.19,-454.1935
2.19,-454.1935
2.20,-454.1935
2.20,-454.1935
2.21,-443.871
2.21,-454.1935
2.21,-454.1935
2.22,-443.871
2.22,-443.871
2.23,-443.871
2.23,-454.1935
2.23,-454.1935
2.24,-443.871
2.24,-443.871
2.27,-443.871
2.27,-454.1935
2.27,-443.871
2.28,-443.871
2.28,-443.871
2.29,-454.1935
2.29,-454.1935
2.29,-443.871
2.30,-454.1935
2.30,-443.871
2.31,-443.871
2.31,-443.871
2.31,-443.871
2.32,-443.871
2.32,-443.871
2.33,-454.1935
2.33,-454.1935
2.33,-454.1935
2.36,-454.1935
2.36,-443.871
2.37,-454.1935
2.37,-454.1935
2.37,-454.1935
2.38,-454.1935
2.38,-454.1935
2.39,-454.1935
2.39,-443.871
2.39,-443.871
2.40,-454.1935
2.40,-443.871
2.41,-454.1935
2.41,-454.1935
2.41,-443.871
2.42,-454.1935
2.42,-454.1935
2.45,-454.1935
2.45,-454.1935
2.45,-454.1935
2.46,-454.1935
2.46,-454.1935
2.47,-454.1935
2.47,-443.871
2.47,-443.871
2.48,-454.1935
2.48,-443.871
2.49,-454.1935
2.49,-454.1935
2.49,-454.1935
2.50,-443.871
2.50,-443.871
2.51,-443.871
2.51,-443.871
2.51,-454.1935
2.64,-454.1935
2.65,-454.1935
2.65,-443.871
2.65,-454.1935
2.66,-454.1935
2.66,-443.871
2.67,-443.871
2.67,-454.1935
2.67,-443.871
2.68,-454.1935
2.68,-443.871
2.69,-454.1935
2.69,-454.1935
2.69,-443.871
2.70,-454.1935
2.70,-454.1935
2.71,-443.871
2.73,-454.1935
2.73,-443.871
2.74,-454.1935
2.74,-454.1935
2.75,-454.1935
2.75,-443.871
2.75,-454.1935
2.76,-454.1935
2.76,-454.1935
2.77,-454.1935
2.77,-454.1935
2.77,-443.871
2.78,-454.1935
2.78,-454.1935
2.79,-454.1935
2.79,-443.871
2.79,-443.871
2.80,-454.1935
2.82,-454.1935
2.83,-443.871
2.83,-454.1935
2.83,-443.871
2.84,-454.1935
2.84,-454.1935
2.85,-443.871
2.85,-443.871
2.85,-454.1935
2.86,-454.1935
2.86,-454.1935
2.87,-443.871
2.87,-443.871
