Time (seconds),x,y,z
1.81,348,-656,-660
1.82,348,-656,-660
1.84,360,-648,-704
1.85,384,-664,-712
1.87,340,-644,-728
1.88,340,-644,-728
1.90,312,-636,-692
1.92,280,-644,-720
1.93,276,-664,-664
1.95,340,-672,-712
1.96,316,-664,-756
1.98,316,-664,-756
2.00,296,-644,-780
2.03,384,-676,-708
2.05,360,-684,-712
2.06,380,-688,-768
2.08,380,-688,-768
2.10,400,-696,-728
2.11,424,-680,-724
2.13,476,-680,-548
2.14,544,-752,-584
2.16,544,-752,-584
2.18,564,-788,-748
2.19,520,-696,-472
2.21,552,-676,-288
2.22,576,-716,-316
2.26,532,-664,-348
2.28,532,-664,-348
2.29,612,-696,-148
2.31,644,-700,-160
2.32,616,-676,-180
2.34,588,-600,-144
2.36,588,-600,-144
2.37,556,-616,4
2.39,628,-632,120
2.40,548,-528,56
2.42,644,-520,68
2.44,644,-520,68
2.45,632,-540,-100
2.47,536,-448,16
2.50,444,-220,432
2.52,428,-132,388
2.54,428,-132,388
2.55,444,48,424
2.57,388,68,172
2.58,416,252,632
2.60,132,452,540
2.62,32,668,616
2.63,32,668,616
2.65,52,748,440
2.66,132,956,524
2.68,172,1124,260
2.70,140,1036,-304
2.71,140,1036,-304
2.73,76,1176,196
2.76,220,1164,180
2.78,104,1048,-132
2.80,-76,1588,-192
2.81,-76,1588,-192
2.83,88,952,-292
2.84,20,992,-488
2.86,-16,988,-556
2.88,-116,988,-528
2.89,-196,1020,-640
2.91,-196,1020,-640
2.92,-164,1140,-728
2.94,-48,1036,-712
2.96,-24,1032,-736
2.97,-4,880,-820
3.01,-28,696,-904
3.02,-80,772,-888
3.04,-84,832,-996
3.06,-60,724,-912
3.07,-136,732,-960
3.09,-136,732,-960
3.10,-140,684,-1020
3.12,-376,672,-1008
3.14,-344,588,-968
3.15,-304,508,-840
3.17,-304,508,-840
3.18,-252,356,-952
3.20,-344,372,-1016
3.22,-404,264,-1032
3.25,-232,160,-872
3.27,-112,16,-960
3.28,-112,16,-960
3.30,-120,-44,-956
3.32,-104,-96,-1060
3.33,-104,-168,-1112
3.35,8,-148,-1096
3.36,8,-148,-1096
3.38,100,-152,-1012
3.40,144,-204,-1016
3.41,140,-268,-1088
3.43,200,-284,-1040
3.44,200,-284,-1040
3.48,400,-292,-928
3.50,440,-332,-960
3.51,444,-412,-980
3.53,276,-372,-1208
3.54,276,-372,-1208
3.56,224,-344,-1012
3.58,396,-364,-716
3.59,696,-388,-472
3.61,924,-512,-452
3.62,852,-208,-684
3.64,852,-208,-684
3.66,536,-532,-828
3.67,476,-500,-472
3.71,1092,-812,-224
3.72,728,-632,-636
3.74,728,-632,-636
3.76,540,-836,-864
3.77,672,-1056,-884
3.79,704,-904,-292
3.80,772,-804,-404
3.82,772,-804,-404
3.84,664,-780,-440
3.85,176,-632,-452
3.87,-100,-436,-420
3.88,56,-736,-88
3.90,56,-736,-88
3.92,160,-724,-60
3.95,328,-776,-12
3.97,184,-752,-836
3.98,280,-972,-1192
4.00,180,-968,-752
4.02,180,-968,-752
4.03,224,-924,-832
4.05,252,-928,-836
4.06,140,-812,-936
4.08,56,-844,-856
4.10,56,-844,-856
4.11,116,-872,-656
4.13,108,-800,-576
4.14,48,-860,-336
4.18,140,-896,-460
4.20,140,-896,-460
4.21,108,-880,-316
4.23,88,-884,-244
4.24,-20,-804,-452
4.26,-40,-820,-628
4.28,-40,-820,-628
4.29,88,-904,-340
4.31,232,-920,24
4.32,164,-960,-136
4.34,108,-936,-288
4.36,-20,-876,-344
4.37,-20,-876,-344
4.39,40,-800,348
4.42,104,-884,-16
4.44,136,-1288,-312
4.46,-48,-656,-16
4.47,-48,-656,-16
4.49,164,-920,-8
4.50,36,-892,-176
4.52,92,-884,-120
4.54,100,-804,-20
4.55,100,-804,-20
4.57,60,-840,56
4.58,184,-888,-64
4.60,316,-1020,-12
4.62,308,-936,244
4.63,308,-936,244
4.67,280,-896,380
4.68,248,-792,244
4.70,316,-976,108
4.72,300,-852,412
4.73,388,-904,408
4.75,388,-904,408
4.76,300,-836,376
4.78,192,-780,432
4.80,324,-804,444
4.81,272,-832,512
4.83,272,-832,512
4.84,360,-800,400
4.86,332,-820,544
4.88,364,-876,436
4.89,260,-832,460
4.93,100,-652,544
4.94,152,-760,544
4.96,176,-696,612
4.98,136,-700,540
4.99,84,-660,484
5.01,100,-724,624
5.02,100,-724,624
5.04,-228,44,564
5.06,56,-652,712
5.07,52,-576,848
5.09,124,-536,724
5.10,124,-536,724
5.12,220,-668,720
5.14,56,-492,952
5.17,8,-444,1020
5.19,12,-528,872
5.20,12,-528,872
5.22,144,-460,824
5.24,72,-448,664
5.25,-56,-400,652
5.27,-132,-296,788
