Time (seconds),button
2.37,0
2.38,0
2.40,0
2.41,0
2.43,0
2.44,0
2.45,0
2.46,0
2.47,0
2.49,0
2.50,0
2.51,0
2.52,0
2.53,0
2.55,0
2.56,0
2.57,0
2.58,0
2.59,0
2.61,0
2.62,0
2.63,0
2.64,0
2.65,0
2.67,0
2.68,0
2.69,0
2.70,0
2.72,0
2.73,0
2.74,0
2.75,0
2.76,0
2.77,0
2.81,0
2.82,0
2.83,0
2.84,0
2.85,0
2.87,0
2.88,0
2.90,0
2.91,0
2.92,0
2.93,0
2.94,0
2.95,0
2.97,0
2.98,0
2.99,0
3.00,0
3.01,0
3.03,0
3.04,0
3.05,0
3.06,0
3.08,0
3.10,0
3.11,0
3.12,0
3.14,0
3.15,0
3.16,0
3.17,0
3.18,0
3.19,0
3.21,0
3.22,0
3.23,0
3.24,0
3.26,0
3.28,0
3.30,0
3.32,0
3.33,0
3.34,0
3.35,0
3.36,0
3.37,0
3.39,0
3.40,0
3.41,0
3.42,0
3.44,0
3.45,0
3.46,0
3.47,0
3.48,0
3.50,0
3.51,0
3.52,0
3.53,0
3.54,0
3.55,0
3.57,0
3.58,0
3.59,0
3.60,0
3.62,0
3.63,0
3.64,0
3.65,0
3.66,0
3.68,0
3.69,0
3.70,0
3.71,0
3.74,0
3.75,0
3.77,0
3.78,0
3.79,0
3.80,0
3.82,0
3.83,0
3.84,0
3.86,0
3.88,0
3.89,0
3.90,0
3.91,0
3.93,0
3.94,0
3.95,0
3.96,0
3.98,0
3.99,0
4.00,0
4.01,0
4.02,0
4.04,0
4.05,0
4.06,0
4.08,0
4.09,0
4.10,0
4.11,0
4.13,0
4.14,0
4.15,0
4.16,0
4.17,0
4.19,0
4.20,0
4.23,0
4.25,0
4.26,0
4.27,0
4.29,0
4.30,0
4.31,0
4.32,0
4.33,0
4.35,0
4.36,0
4.37,0
4.38,0
4.40,0
4.41,0
4.42,0
4.43,0
4.44,0
4.45,0
4.47,0
4.48,0
4.49,0
4.50,0
4.51,0
4.53,0
4.54,0
4.55,0
4.56,0
4.58,0
4.59,0
4.60,0
4.61,0
4.62,0
4.63,0
4.65,0
4.66,0
4.69,0
4.70,0
4.72,0
4.73,0
4.74,1
4.76,1
4.77,1
4.78,1
4.79,1
4.80,1
4.81,1
4.83,1
4.84,1
4.85,1
4.86,1
4.87,1
4.89,1
4.90,1
4.91,1
4.92,1
4.94,1
4.95,1
4.96,1
4.97,1
4.98,1
4.99,1
5.01,1
5.02,1
5.03,1
5.04,1
5.05,1
5.07,1
5.08,1
5.09,1
5.10,1
5.12,1
5.13,1
5.16,1
5.17,1
5.19,1
5.20,1
5.21,1
5.22,1
5.23,1
5.25,1
5.26,1
5.27,1
5.28,1
5.30,1
5.31,1
5.32,1
5.33,1
5.34,1
5.36,1
5.37,1
5.38,1
5.39,1
5.40,1
5.41,1
5.43,1
5.44,1
5.45,1
5.46,1
5.48,1
5.49,1
5.51,1
5.52,1
5.54,1
5.55,1
5.56,1
5.57,1
5.58,1
5.59,1
5.63,1
5.64,1
5.65,1
5.66,1
5.68,1
5.69,1
5.70,1
5.72,1
5.73,1
5.74,1
5.75,1
5.76,1
5.77,1
5.79,1
5.80,1
5.81,1
5.82,1
5.83,1
5.85,1
5.86,0
5.87,0
5.88,0
5.90,0
5.91,0
5.92,0
5.93,0
5.94,0
5.95,0
5.97,0
5.98,0
5.99,0
6.00,0
6.02,0
6.03,0
6.04,0
6.05,0
6.06,0
6.09,0
6.11,0
6.12,0
6.13,0
6.14,0
6.15,0
6.17,0
6.18,0
6.19,0
6.20,0
6.22,0
6.23,0
6.24,0
6.26,0
6.27,0
6.28,0
6.29,0
6.30,0
6.31,0
6.33,0
6.34,0
6.35,0
6.36,0
6.38,0
6.39,0
6.40,0
6.41,0
6.42,0
6.44,0
6.45,0
6.46,0
6.48,0
6.49,0
6.50,0
6.51,0
6.53,0
6.55,0
6.57,0
6.58,0
6.59,0
6.60,0
6.61,0
6.63,0
6.64,0
6.65,0
6.66,0
6.67,0
6.69,0
6.70,0
6.71,0
6.72,0
6.74,0
6.75,0
6.76,0
6.77,0
6.78,0
6.80,0
6.81,0
6.82,0
6.83,0
6.84,0
6.85,0
6.87,0
6.88,0
6.89,0
6.90,0
6.92,0
6.93,0
6.94,0
6.95,0
6.96,0
6.98,0
6.99,0
7.02,0
7.03,0
7.04,0
7.05,0
7.07,0
7.08,0
7.09,0
7.10,0
7.12,0
7.13,0
7.14,0
7.16,0
7.17,0
7.18,0
7.19,0
7.20,0
7.21,0
7.23,0
7.24,0
7.25,0
7.26,0
7.28,0
7.29,0
7.30,0
7.31,0
7.32,0
7.34,0
7.35,0
7.36,0
7.37,0
7.38,0
7.39,0
7.41,0
7.42,0
7.43,0
7.44,0
7.45,0
7.49,0
7.50,0
7.51,0
7.53,0
7.54,0
7.55,0
7.56,0
7.57,0
7.59,0
7.60,0
7.61,0
7.62,0
7.63,0
7.65,0
7.66,0
7.67,0
7.68,0
7.70,0
7.71,0
7.72,0
7.73,0
7.74,0
7.75,0
7.77,0
7.78,0
7.79,0
7.80,0
7.81,0
7.83,0
7.84,0
7.85,0
7.86,0
7.88,0
7.89,0
7.90,0
7.91,0
7.94,0
7.95,0
7.97,0
7.98,0
7.99,0
8.00,0
8.01,0
8.03,0
8.04,0
8.06,0
8.07,0
8.08,0
8.09,0
8.10,0
8.12,0
8.13,0
8.14,0
8.15,0
8.16,0
8.17,1
8.19,1
8.20,1
8.21,1
8.22,1
8.23,1
8.25,1
8.26,1
8.27,1
8.28,1
8.29,1
8.31,1
8.32,1
8.33,1
8.34,1
8.35,1
8.37,1
8.38,1
8.41,1
8.42,1
8.44,1
8.45,1
8.46,1
8.48,1
8.49,1
8.50,1
8.51,1
8.52,1
8.53,1
8.55,1
8.56,1
8.57,1
8.58,0
8.60,0
8.61,0
8.62,0
8.63,0
8.64,0
8.66,0
8.67,0
8.68,0
8.69,0
8.70,0
8.71,0
8.73,0
8.74,0
8.75,0
8.76,0
8.78,0
8.79,0
8.80,0
8.81,0
8.82,0
8.84,0
8.87,0
8.88,0
8.89,0
8.90,0
8.91,0
8.93,0
8.94,0
8.95,0
8.96,0
8.98,0
8.99,0
9.00,0
9.02,0
9.03,0
9.04,0
9.05,0
9.06,0
9.07,0
9.09,0
9.10,0
9.11,0
9.12,0
9.13,0
9.15,0
9.16,0
9.17,0
9.18,0
9.20,0
9.21,0
9.22,0
9.23,0
9.24,0
9.25,0
9.27,0
9.28,0
9.29,0
9.30,0
9.34,0
9.35,0
9.36,0
9.38,0
9.39,0
9.40,0
9.41,0
9.42,0
9.43,0
9.45,0
9.46,0
9.47,0
9.48,0
9.50,0
9.51,0
9.52,0
9.53,0
9.54,0
9.56,0
9.58,0
9.59,0
9.60,1
9.61,1
9.63,1
9.64,1
9.65,1
9.66,1
9.68,1
9.69,1
9.70,1
9.71,1
9.72,1
9.74,1
9.75,1
9.76,1
9.77,1
9.89,1
9.91,1
9.93,1
9.94,1
9.95,1
9.96,1
9.97,1
9.99,1
10.00,1
10.01,1
10.02,1
10.04,1
10.05,1
10.06,1
10.07,1
10.08,1
10.10,1
10.11,1
10.12,1
10.13,1
10.14,1
10.15,1
10.17,1
10.18,1
10.19,1
10.20,1
10.21,1
10.23,1
10.24,1
10.25,1
10.26,1
10.28,1
10.29,1
10.31,1
10.33,1
10.34,1
10.35,1
10.37,1
10.38,1
10.39,1
10.40,1
10.42,1
10.43,1
10.44,1
10.45,1
10.47,1
10.48,1
10.49,1
10.50,1
10.51,1
10.53,1
10.54,1
10.55,1
10.56,1
10.57,1
10.59,1
10.60,1
10.61,1
10.62,1
10.64,1
10.65,1
10.66,1
10.67,1
10.68,1
10.69,1
10.71,1
10.73,1
10.75,1
10.76,1
10.77,1
10.78,1
10.80,1
10.81,1
10.82,1
10.84,1
10.85,1
10.86,1
10.88,1
10.89,1
10.90,1
10.91,1
10.92,1
10.93,1
10.95,1
10.96,1
10.97,1
10.98,1
11.00,1
11.01,1
11.02,1
11.03,1
11.04,1
11.06,1
11.07,1
11.08,1
11.09,1
11.10,1
11.12,1
11.14,1
11.15,1
11.17,1
11.18,0
11.19,0
11.20,0
11.22,0
11.24,0
11.25,0
11.26,0
11.27,0
11.28,0
11.29,0
11.31,0
11.32,0
11.33,0
11.34,0
11.36,0
11.37,0
11.38,0
11.39,0
11.40,0
11.42,0
11.43,0
11.44,0
11.45,0
11.46,0
11.47,0
11.49,0
11.50,0
11.51,0
11.53,0
11.55,0
11.56,0
11.58,0
11.60,0
11.61,0
11.62,0
11.63,0
11.64,0
11.65,0
11.67,0
11.68,0
11.69,0
11.70,0
11.72,0
11.73,0
11.74,0
11.75,0
11.76,0
11.78,0
11.79,0
11.80,0
11.81,0
11.82,0
11.83,0
11.85,0
11.86,0
11.87,0
11.88,0
11.90,0
11.91,0
11.92,0
11.94,0
11.96,0
11.98,0
11.99,0
12.00,0
12.01,0
12.03,1
12.04,1
12.05,1
12.06,1
12.08,1
12.09,1
12.10,1
12.11,1
12.12,1
12.14,1
12.15,1
12.16,1
12.17,1
12.18,1
12.19,1
12.21,1
12.22,1
12.23,1
12.24,1
12.26,1
12.27,1
12.28,1
12.29,1
12.30,1
12.31,1
12.33,1
12.35,1
12.37,1
12.38,1
12.39,1
12.41,0
12.42,0
12.43,0
12.44,0
12.46,0
12.47,0
12.48,0
12.50,0
12.51,0
12.52,0
12.53,0
12.54,0
12.55,0
12.57,0
12.58,0
12.59,0
12.60,0
12.61,0
12.63,0
12.64,0
12.65,0
12.66,0
12.68,0
12.69,0
12.70,0
12.71,0
12.72,0
12.73,0
12.75,0
12.77,0
12.79,0
12.80,0
12.81,0
12.82,0
12.84,0
12.85,0
12.86,0
12.88,0
12.89,0
12.90,0
12.92,0
12.93,0
12.94,0
12.95,0
12.97,0
12.98,0
12.99,0
13.00,0
13.01,0
13.03,0
13.04,0
13.05,0
13.06,0
13.08,0
13.10,0
13.11,0
13.12,0
13.13,0
13.14,0
13.15,0
13.17,0
13.19,0
13.21,0
13.22,0
13.23,0
13.24,0
13.26,0
13.28,0
13.29,0
13.30,0
13.31,0
13.32,0
13.33,0
13.35,0
13.36,0
13.37,0
13.38,0
13.40,1
13.41,1
13.42,1
13.43,1
13.44,1
13.46,1
13.47,1
13.48,1
13.49,1
13.50,1
13.51,1
13.53,1
13.54,1
13.55,1
13.56,1
13.58,1
13.60,1
13.62,1
13.63,1
13.65,1
13.66,1
13.67,1
13.68,1
13.69,1
13.71,1
13.72,1
13.73,1
13.74,1
13.76,1
13.77,1
13.78,1
13.79,1
13.80,1
13.82,1
13.83,1
13.84,1
13.85,1
13.86,1
13.87,1
13.89,1
13.90,1
13.91,1
13.92,1
13.93,1
13.95,1
13.96,1
13.97,1
13.99,1
14.01,1
14.03,1
14.04,1
14.05,1
14.07,1
14.08,1
14.09,1
14.10,1
14.12,1
14.13,1
14.14,1
14.15,1
14.16,1
14.18,1
14.19,1
14.20,1
14.21,1
14.22,1
14.23,1
14.25,1
14.26,1
14.27,1
14.28,1
14.29,1
14.31,1
14.32,1
14.33,1
14.34,1
14.36,1
14.37,1
14.38,1
14.40,1
14.42,1
14.43,1
14.44,1
14.45,1
14.47,1
14.48,1
14.49,1
14.50,1
14.52,1
14.53,1
14.54,1
14.56,1
14.57,1
14.58,1
14.59,1
14.61,1
14.62,1
14.63,1
14.64,1
14.65,1
14.67,1
14.68,1
14.69,0
14.70,0
14.72,0
14.73,0
14.74,0
14.75,0
14.76,0
14.77,0
14.79,0
14.81,0
14.83,0
14.84,0
14.85,0
14.86,0
14.88,0
14.89,0
14.90,0
14.92,0
14.93,0
14.94,0
14.95,0
14.97,0
14.98,0
14.99,0
15.00,0
15.01,0
15.03,0
15.04,0
15.05,0
15.06,0
15.08,0
15.09,0
15.10,0
15.11,0
15.12,0
15.14,0
15.15,0
15.16,0
15.17,0
15.18,0
15.19,0
15.21,1
