Time (seconds),light
5.78,19
5.80,19
5.81,19
5.82,20
5.83,20
5.85,20
5.86,19
5.87,20
5.88,19
5.89,19
5.91,20
5.92,19
5.93,19
5.94,19
5.96,19
5.97,19
5.98,19
5.99,19
6.00,20
6.01,20
6.03,18
6.04,20
6.05,19
6.06,19
6.07,19
6.09,19
6.10,19
6.11,19
6.12,20
6.14,19
6.17,19
6.18,19
6.20,19
6.21,19
6.22,19
6.23,20
6.24,19
6.25,19
6.27,19
6.28,20
6.29,19
6.30,20
6.31,20
6.33,19
6.34,20
6.35,19
6.36,20
6.38,20
6.39,20
6.40,20
6.41,20
6.42,20
6.43,21
6.45,21
6.46,20
6.47,21
6.48,21
6.50,21
6.51,21
6.52,21
6.53,22
6.54,20
6.57,20
6.59,22
6.60,21
6.61,22
6.62,22
6.63,21
6.65,22
6.66,21
6.67,22
6.68,21
6.70,21
6.71,22
6.72,22
6.73,21
6.75,22
6.76,21
6.77,22
6.78,21
6.79,22
6.81,22
6.82,22
6.83,22
6.84,21
6.86,22
6.87,22
6.88,22
6.89,21
6.90,22
6.92,21
6.93,23
6.94,23
6.95,22
6.98,22
6.99,23
7.01,23
7.02,23
7.03,22
7.04,22
7.06,23
7.07,23
7.08,22
7.10,23
7.11,22
7.12,23
7.13,23
7.14,23
7.15,23
7.17,22
7.18,23
7.19,22
7.20,23
7.22,22
7.23,22
7.24,22
7.25,22
7.26,22
7.28,22
7.29,22
7.30,21
7.31,22
7.32,22
7.33,22
7.35,22
7.36,21
7.39,21
7.40,22
7.42,21
7.43,21
7.44,21
7.46,21
7.47,21
7.48,21
7.49,20
7.50,21
7.51,20
7.53,22
7.54,21
7.55,21
7.56,21
7.57,21
7.59,21
7.60,21
7.61,21
7.62,20
7.64,21
7.65,21
7.66,20
7.67,21
7.68,20
7.69,21
7.71,20
7.72,21
7.73,20
7.74,21
7.75,20
7.77,20
7.80,19
7.81,19
7.83,18
7.84,17
7.85,18
7.86,18
7.87,17
7.89,17
7.90,17
7.91,17
7.92,17
7.93,18
7.95,17
7.96,17
7.97,17
7.98,18
8.00,17
8.01,17
8.02,17
8.03,17
8.04,17
8.05,17
8.07,17
8.08,17
8.09,17
8.10,17
8.11,17
8.13,17
8.14,17
8.15,18
8.16,18
8.18,19
8.21,21
8.22,21
8.23,22
8.25,21
8.26,22
8.27,21
8.28,22
8.29,22
8.31,22
8.32,22
8.33,22
8.34,22
8.35,21
8.37,22
8.38,21
8.39,21
8.40,21
8.42,20
8.43,20
8.44,19
8.45,18
8.46,18
8.47,18
8.49,17
8.50,18
8.51,18
8.52,17
8.54,17
8.55,17
8.56,17
8.57,16
8.58,17
8.61,17
8.63,17
8.64,16
8.65,17
8.66,16
8.67,17
8.69,17
8.70,17
8.71,17
8.72,17
8.74,17
8.75,18
8.76,18
8.78,19
8.79,18
8.80,18
8.81,18
8.82,18
8.83,19
8.85,18
8.86,19
8.87,18
8.88,19
8.90,19
8.91,19
8.92,18
8.93,18
8.94,18
8.96,17
8.97,17
8.98,17
8.99,17
9.02,19
9.03,19
9.05,20
9.06,21
9.07,21
9.08,22
9.10,21
9.11,21
9.12,20
9.13,20
9.15,19
9.16,19
9.17,18
9.18,19
9.19,18
9.21,18
9.22,18
9.23,18
9.24,17
9.26,17
9.27,17
9.28,16
9.29,15
9.30,14
9.32,14
9.33,13
9.34,13
9.35,13
9.36,12
9.37,12
9.39,12
9.40,12
9.43,11
9.44,11
9.46,11
9.47,11
9.48,10
9.50,10
9.51,10
9.52,10
9.53,10
9.54,10
9.55,10
9.57,10
9.58,9
9.59,10
9.60,10
9.62,10
9.63,9
9.64,10
9.65,10
9.66,9
9.68,10
9.69,10
9.70,10
9.71,10
9.72,10
9.73,10
9.75,11
9.76,10
9.77,10
9.78,10
9.80,10
9.81,11
9.84,11
9.86,11
9.87,11
9.88,12
9.89,16
9.90,19
9.91,22
9.93,22
9.94,23
9.95,23
9.96,24
9.97,25
9.99,24
10.00,25
10.01,24
10.02,24
10.03,24
10.05,24
10.06,23
10.07,20
10.08,16
10.09,13
10.11,11
10.12,9
10.13,8
10.14,8
10.15,7
10.17,7
10.18,6
10.19,5
10.20,5
10.24,4
10.25,4
10.26,4
10.27,4
10.29,4
10.30,4
10.31,4
10.32,3
10.34,3
10.35,3
10.36,4
10.37,4
10.38,3
10.40,3
10.41,3
10.42,3
10.43,2
10.44,2
10.45,3
10.47,3
10.48,3
10.49,3
10.50,3
10.51,3
10.53,3
10.54,3
10.55,2
10.56,3
10.58,2
10.59,3
10.60,3
10.61,2
10.64,2
10.65,2
10.67,2
10.68,2
10.69,2
10.70,2
10.72,3
10.73,2
10.74,2
10.75,3
10.76,3
10.78,3
10.79,3
10.80,3
10.81,2
10.83,2
10.84,2
10.85,2
10.86,2
10.87,3
10.89,3
10.90,2
10.91,2
10.92,3
10.94,3
10.95,2
10.96,2
10.97,3
10.98,3
11.00,3
11.01,2
11.02,3
11.05,3
11.06,2
11.07,3
11.09,2
11.10,3
11.11,2
11.12,3
11.14,2
11.15,2
11.16,2
11.18,3
11.19,3
11.20,2
11.21,2
11.22,3
11.23,2
11.25,3
11.26,3
11.27,3
11.28,2
11.30,3
11.31,3
11.32,2
11.33,2
11.34,2
11.36,3
11.37,2
11.38,3
11.39,3
11.40,3
11.41,3
11.43,3
11.46,3
11.47,3
11.48,3
11.50,3
11.51,3
11.52,3
11.53,3
11.54,3
11.56,8
11.57,12
11.58,14
11.59,18
11.61,18
11.62,20
11.63,21
11.64,22
11.65,23
11.67,23
11.68,24
11.69,22
11.70,23
11.72,22
11.73,22
11.74,21
11.75,21
11.76,21
11.77,20
11.79,21
11.80,20
11.82,21
11.84,20
11.85,20
11.86,21
11.88,22
11.89,21
11.90,21
11.92,22
11.93,21
11.94,22
11.95,22
11.97,22
11.98,22
11.99,22
12.00,22
12.01,22
12.03,23
12.04,22
12.05,23
12.06,22
12.07,22
12.09,23
12.10,22
12.11,23
12.12,22
12.13,23
12.15,22
12.16,23
12.17,23
12.31,22
12.32,23
12.33,23
12.35,23
12.36,23
12.37,23
12.38,23
12.39,23
12.41,23
12.42,24
12.43,22
12.45,23
12.46,24
12.47,23
12.48,23
12.49,24
12.51,23
12.52,24
12.53,23
12.54,24
12.55,24
12.57,24
12.58,24
12.59,24
12.60,25
12.62,24
12.63,25
12.64,25
12.67,24
12.69,25
12.70,24
12.71,25
12.72,25
12.73,25
12.75,24
12.76,25
12.77,24
12.78,25
12.80,25
12.81,25
12.82,25
12.83,24
12.84,25
12.86,25
12.87,26
12.88,25
12.89,25
12.90,25
12.91,25
12.93,26
12.94,25
12.95,26
12.96,24
12.98,26
12.99,25
13.00,26
13.01,26
13.04,26
13.06,26
13.07,25
13.08,26
13.09,26
13.11,26
13.12,26
13.13,25
13.14,26
13.16,26
13.17,26
13.18,25
13.19,26
13.20,25
13.22,25
13.23,26
13.24,25
13.25,26
13.26,25
13.27,26
13.29,25
13.30,25
13.31,26
13.32,26
13.33,26
13.35,25
13.36,26
13.37,25
13.40,26
13.42,26
13.43,25
13.44,26
13.45,25
13.47,26
13.48,25
13.49,26
13.50,25
13.51,25
13.53,26
13.54,25
13.55,26
13.56,25
13.58,26
13.59,25
13.60,26
13.61,26
13.62,26
13.63,26
13.65,25
13.66,26
13.67,25
13.68,26
13.70,25
13.71,27
13.72,26
13.73,26
13.74,26
13.78,26
13.79,26
13.80,25
13.81,26
13.83,27
13.84,26
13.85,26
13.86,25
13.87,26
13.89,25
13.90,26
13.91,26
13.92,26
13.94,29
13.95,30
13.96,32
13.97,31
13.98,33
13.99,32
14.01,34
14.02,34
14.03,34
14.04,35
14.05,35
14.07,36
14.08,35
14.09,36
14.10,35
14.13,37
14.15,37
14.16,37
14.17,38
14.19,38
14.20,39
14.21,39
14.22,41
14.23,42
14.25,43
14.26,46
14.27,48
14.28,51
14.30,51
14.31,54
14.32,56
14.33,58
14.34,60
14.35,63
14.37,66
14.38,69
14.39,73
14.40,76
14.41,80
14.43,82
14.44,85
14.45,87
14.46,90
14.48,93
14.51,100
14.52,102
14.54,103
14.55,105
14.56,107
14.57,108
14.58,108
14.59,108
14.61,110
14.62,109
14.63,111
14.64,112
14.66,113
14.67,114
14.68,114
14.69,116
14.70,116
14.72,117
14.73,118
14.74,121
14.75,123
14.76,128
14.77,139
14.79,156
14.80,170
14.83,202
14.84,201
14.86,202
14.87,194
14.88,192
14.90,184
14.91,175
14.92,173
14.93,176
14.94,179
14.95,185
14.97,191
14.98,197
14.99,204
15.00,212
15.01,220
15.03,228
15.04,238
15.05,245
15.06,254
15.08,261
15.09,270
15.10,277
15.11,284
15.12,293
15.13,302
15.17,325
15.18,334
15.19,343
15.20,352
15.22,362
15.23,372
15.24,385
15.26,398
15.27,411
15.28,427
15.29,443
15.30,460
15.31,474
15.33,486
15.34,496
15.35,504
15.36,512
15.38,518
15.39,524
15.40,532
15.41,540
15.42,549
15.44,558
15.45,568
15.46,578
15.48,596
15.50,618
15.51,630
15.52,645
15.53,663
15.55,687
15.56,717
15.57,751
15.58,793
15.60,832
15.61,874
15.62,899
15.64,916
15.65,929
15.66,935
15.67,939
15.69,941
15.70,944
15.71,945
15.72,946
15.73,948
15.75,950
15.76,952
15.77,953
15.78,953
15.79,953
15.83,954
15.84,954
15.85,954
15.87,953
15.88,952
15.89,950
15.90,947
15.92,943
15.93,937
15.94,928
15.96,915
15.97,894
15.98,850
16.00,796
16.01,751
16.02,710
16.03,671
16.05,640
16.06,616
16.07,597
16.08,581
16.10,567
16.11,552
16.12,536
16.13,518
16.14,498
16.18,433
16.19,408
16.20,392
16.21,379
16.23,367
16.24,355
16.25,342
16.26,330
16.27,314
16.29,302
16.30,288
16.31,276
16.32,267
16.34,286
16.35,338
16.36,369
16.37,313
16.38,249
16.39,217
16.41,197
16.42,184
16.43,172
16.44,161
16.45,151
16.47,140
16.50,116
16.51,105
16.52,95
16.54,86
16.55,79
16.56,74
16.57,68
16.59,64
16.60,59
16.61,58
16.62,54
16.63,52
16.65,50
16.66,47
16.67,46
16.68,43
16.70,43
16.71,41
16.72,40
16.73,39
16.74,39
16.76,38
16.77,37
16.78,38
16.79,37
16.80,37
16.81,36
16.83,37
16.85,37
16.87,37
16.88,37
16.89,36
16.90,38
16.92,37
16.93,38
16.95,39
16.96,40
16.97,42
16.98,42
16.99,45
17.01,46
17.02,50
17.03,52
17.04,56
17.06,59
17.07,64
17.08,71
17.09,78
17.10,91
17.12,100
17.13,109
17.14,118
17.15,129
17.16,140
17.17,150
17.19,162
17.22,241
17.23,323
17.24,353
17.26,359
17.27,329
17.28,293
17.30,273
17.31,269
17.32,270
17.33,272
17.34,276
17.35,280
17.37,284
17.38,289
17.39,293
17.40,300
17.41,306
17.43,315
17.44,322
17.45,331
17.46,338
17.48,345
17.49,352
17.50,357
17.51,363
17.52,369
17.55,396
17.57,411
17.58,427
17.59,444
17.60,459
17.62,472
17.63,491
17.64,505
17.66,518
17.67,534
17.68,553
17.69,577
17.70,601
17.71,629
17.73,659
17.74,695
17.75,733
17.76,770
17.78,803
17.79,830
17.80,853
17.81,873
17.82,888
17.84,904
17.86,916
18.00,955
18.01,955
18.03,954
18.04,955
18.05,956
18.06,956
18.08,956
18.09,955
18.10,955
18.11,954
18.13,953
18.14,954
18.15,954
18.16,953
18.18,954
18.19,952
18.20,950
18.22,945
18.23,941
18.24,935
18.25,925
18.27,913
18.28,895
18.29,869
18.30,832
18.31,787
18.35,655
18.36,614
18.37,574
18.38,544
18.40,513
18.41,490
18.42,463
18.44,430
18.45,396
18.46,367
18.47,343
18.48,325
18.49,309
18.51,297
18.52,289
18.53,280
18.54,270
18.56,257
18.57,248
18.58,237
18.59,227
18.60,217
18.62,210
18.63,202
18.64,196
18.65,193
18.68,205
18.69,214
18.71,223
18.72,224
18.73,229
18.74,226
18.76,201
18.77,171
18.78,156
18.80,146
18.81,142
18.82,140
18.83,138
18.84,134
18.85,130
18.87,125
18.88,117
18.89,111
18.90,102
18.92,96
18.93,88
18.94,80
18.95,75
18.96,69
18.98,67
18.99,61
19.02,56
19.03,54
19.04,52
19.05,48
19.07,48
19.08,44
19.09,43
19.10,41
19.11,41
19.13,38
19.14,37
19.16,36
19.17,36
19.18,34
19.19,34
19.20,33
19.21,34
19.23,34
19.24,34
19.25,35
19.26,35
19.27,35
19.29,33
19.30,35
19.31,33
19.32,33
19.34,33
19.35,32
19.38,31
19.39,30
19.41,30
19.42,30
19.43,30
19.44,30
19.45,29
19.47,30
19.48,30
19.49,29
19.50,28
19.52,29
19.53,29
19.54,29
19.55,29
19.56,29
19.57,29
19.59,28
19.60,29
19.61,28
19.62,29
19.63,29
19.65,29
19.66,29
19.67,29
19.68,29
19.70,28
19.71,29
19.72,28
19.75,30
19.76,30
19.77,31
19.79,30
19.80,31
19.81,30
19.82,31
19.83,32
19.85,33
19.86,33
19.87,32
19.88,32
19.90,32
19.91,31
19.92,32
19.93,32
19.95,35
19.96,36
19.97,36
19.98,40
19.99,41
20.01,44
20.02,46
20.03,51
20.04,53
20.06,58
20.07,65
20.08,72
20.11,92
20.13,104
20.14,113
20.15,122
20.16,130
20.17,136
20.19,139
20.20,145
20.21,153
20.22,177
20.24,214
20.25,246
20.26,250
20.27,264
20.28,250
20.30,230
20.31,218
20.32,218
20.33,224
20.34,229
20.35,236
20.37,244
20.38,253
20.39,263
20.40,273
20.42,283
20.45,307
20.46,316
20.48,326
20.49,333
20.50,339
20.51,344
20.52,351
20.53,356
20.55,363
20.56,369
20.57,375
20.58,383
20.60,391
20.61,399
20.62,406
20.63,414
20.64,422
20.66,432
20.67,441
20.68,452
20.69,462
20.70,472
20.71,483
20.73,495
20.74,506
20.76,525
20.78,543
20.79,552
20.80,562
20.82,572
20.83,584
20.84,606
20.86,632
20.87,656
20.88,680
20.89,707
20.91,736
20.92,770
20.93,803
20.94,835
20.96,861
20.97,882
20.98,896
20.99,907
21.00,916
21.02,924
21.03,932
21.04,938
21.05,944
21.06,949
21.07,952
21.11,957
21.12,957
21.13,956
21.14,956
21.16,956
21.17,956
21.18,956
21.19,957
21.21,957
21.22,957
21.23,958
21.24,958
21.25,958
21.27,958
21.28,959
21.29,958
21.30,959
21.31,959
21.33,958
21.34,958
21.35,958
21.36,959
21.38,959
21.39,959
21.40,959
21.41,959
21.44,960
21.45,960
21.47,959
21.48,959
21.49,959
21.50,960
21.51,960
21.53,959
21.54,959
21.55,960
21.56,960
21.57,960
21.59,960
21.60,959
21.62,960
21.63,960
21.64,960
21.65,960
21.66,960
21.67,960
21.69,960
21.70,960
21.71,960
21.72,961
21.74,961
21.77,961
21.78,961
21.80,961
21.81,961
21.82,961
21.83,961
21.84,961
21.85,961
21.87,961
21.88,961
21.89,961
21.90,961
21.92,961
21.93,961
21.94,960
21.95,961
21.96,961
21.98,961
21.99,961
22.00,961
22.01,961
22.02,961
22.03,961
22.05,961
22.06,960
22.07,961
22.10,961
22.12,961
22.13,961
22.14,961
22.15,961
22.17,960
22.18,961
22.19,961
22.20,961
22.21,961
22.23,960
22.24,961
22.25,961
22.26,961
22.28,961
22.29,962
22.30,961
22.31,961
22.32,961
22.33,962
22.35,962
22.36,962
22.37,962
22.38,963
22.39,962
22.41,963
22.43,963
22.45,963
22.46,963
22.47,963
22.48,963
22.50,963
22.51,963
22.52,963
22.54,962
22.55,961
22.56,961
22.57,961
22.59,961
22.60,961
22.61,961
22.62,960
22.63,960
22.65,960
22.66,960
22.67,960
22.68,960
22.70,960
22.71,961
22.72,960
22.73,959
22.76,958
22.77,959
22.79,958
22.80,958
22.81,958
22.82,957
22.83,957
22.85,957
22.86,957
22.87,956
22.88,957
22.90,956
22.91,957
22.92,957
22.93,957
22.95,957
22.96,957
22.97,957
22.98,957
22.99,957
23.01,957
23.02,957
23.03,957
23.04,957
23.06,957
23.07,957
23.10,957
23.12,956
23.13,955
23.14,954
23.15,952
23.16,949
23.17,945
23.19,938
23.20,931
23.21,922
23.22,909
23.24,897
23.25,884
23.26,870
23.27,853
23.28,833
23.30,814
23.31,797
23.32,782
23.33,765
23.34,744
23.35,722
23.37,700
23.38,682
23.39,667
23.53,645
23.54,680
23.55,724
23.56,772
23.57,809
23.59,833
23.60,846
23.61,857
23.62,867
23.64,880
23.66,893
23.67,900
23.68,904
23.69,906
23.70,907
23.71,909
23.73,911
23.74,913
23.75,913
23.76,911
23.78,908
23.79,905
23.80,902
23.81,900
23.82,897
23.84,894
23.87,895
23.88,894
23.89,891
23.90,885
23.91,873
23.93,856
23.94,830
23.95,796
23.96,752
23.97,704
23.99,644
24.00,583
24.01,510
24.03,466
24.04,428
24.05,395
