Time (seconds),noise
1.33,52.47162
1.53,52.06543
1.74,51.40327
1.94,51.95053
2.15,52.28157
2.35,51.62392
2.55,65.97595
2.75,82.49303
2.95,95.04523
3.16,92.57051
3.36,92.9847
3.56,93.81455
3.76,91.86294
3.97,59.43798
4.17,51.65451
4.38,51.96442
4.58,51.29662
4.80,51.34537
5.01,51.04843
5.21,51.8483
5.42,51.41441
5.62,51.59721
5.82,52.16118
6.02,51.86234
6.23,52.31216
6.43,51.87706
6.63,51.59645
6.83,51.83113
7.03,53.75992
7.24,52.41989
7.44,52.56111
7.64,54.80507
7.84,54.14169
8.05,52.32941
8.25,52.36198
8.46,52.74483
8.68,52.47032
8.88,52.55615
9.08,53.31352
9.28,54.09101
9.49,52.55844
9.69,52.32559
9.89,52.61536
10.10,47.74323
10.29,42.06116
10.50,38.58948
10.70,37.20459
10.90,35.96527
11.10,35.59174
11.30,37.98157
11.51,39.81384
11.71,38.50464
11.92,36.3208
12.14,37.49451
12.34,42.13715
12.54,37.31201
12.75,35.28351
12.95,35.1828
13.16,35.17273
13.36,35.31891
13.56,35.73578
13.77,35.1593
13.97,35.17944
14.17,35.24292
14.38,35.14404
14.58,35.13977
14.78,35.1358
14.98,35.21057
15.19,40.65002
15.39,38.15643
15.60,41.44836
15.82,44.06403
16.02,44.52759
16.23,49.87061
16.43,51.44264
16.64,51.99066
16.84,53.97758
17.04,52.65366
17.25,52.61147
17.45,53.01651
17.66,53.82401
17.86,53.16284
18.06,54.43977
18.27,53.27286
18.47,52.92046
18.67,62.32063
18.87,71.10781
19.08,70.99884
19.30,70.02923
19.50,73.49122
19.71,80.08229
19.91,83.32219
20.12,84.51588
20.32,80.50559
20.52,76.6402
20.73,77.1627
20.93,69.70265
21.14,72.05432
21.34,76.81278
21.54,74.22216
21.74,77.93134
21.95,54.40521
22.15,51.26083
22.36,51.29921
22.56,52.12502
22.78,51.27869
22.98,51.19232
23.19,83.80446
23.39,87.80203
23.59,86.83682
23.80,86.20764
24.00,90.3015
24.20,88.94515
24.41,90.07137
24.61,90.90615
24.82,91.28379
25.02,91.49929
25.22,90.40722
25.42,86.24777
25.63,83.08178
25.83,52.86057
26.04,51.47827
26.26,51.98807
26.46,51.61423
26.66,52.22466
26.87,51.45798
27.07,51.87759
27.27,59.43775
27.47,57.6305
27.68,83.34987
27.88,86.63971
28.08,96.33437
28.29,95.34074
28.49,96.30225
28.69,93.23119
28.90,95.72502
29.10,97.75455
29.30,99.33249
29.51,94.91418
29.73,97.25993
29.93,97.65769
30.13,100.09
30.33,99.76735
30.54,102.6531
30.74,102.1078
30.94,100.234
31.15,100.4658
31.35,100.4189
31.55,92.1144
31.76,53.49289
31.96,52.40921
32.16,51.99417
32.37,53.3033
32.57,51.83723
32.78,53.47763
32.98,52.21611
33.18,52.13707
33.40,53.58856
33.61,54.83307
33.81,52.5045
34.01,52.08
34.22,93.94404
34.42,95.03082
34.62,87.27656
34.83,73.6595
35.03,89.3229
35.23,92.20822
35.43,96.107
35.63,99.53143
35.84,97.05821
36.04,62.82327
36.24,54.13582
36.44,52.56729
36.64,52.9258
36.87,53.95302
