Time (seconds),motion
1.96,1
1.97,1
1.98,1
2.00,1
2.01,1
2.03,1
2.04,1
2.05,1
2.06,1
2.07,1
2.09,1
2.10,1
2.11,1
2.12,1
2.14,1
2.15,1
2.16,1
2.18,1
2.20,1
2.21,1
2.22,1
2.23,1
2.25,1
2.26,1
2.27,1
2.28,1
2.30,1
2.31,1
2.32,1
2.34,1
2.36,1
2.37,1
2.38,1
2.40,1
2.43,1
2.44,1
2.45,1
2.47,1
2.48,1
2.49,1
2.50,1
2.51,1
2.53,1
2.54,1
2.56,1
2.57,1
2.58,1
2.59,1
2.61,1
2.62,1
2.63,1
2.64,1
2.65,1
2.67,1
2.68,1
2.69,1
2.70,1
2.72,1
2.73,1
2.74,1
2.75,1
2.76,1
2.77,1
2.79,1
2.80,1
2.81,1
2.82,1
2.83,0
2.85,0
2.86,0
2.88,0
2.90,0
2.92,0
2.93,0
2.94,0
2.95,0
2.97,0
2.98,0
2.99,0
3.00,0
3.01,0
3.03,0
3.04,0
3.06,0
3.07,0
3.08,0
3.10,0
3.11,0
3.12,0
3.14,0
3.15,0
3.17,0
3.18,0
3.19,0
3.20,0
3.21,0
3.23,0
3.24,0
3.25,0
3.26,0
3.28,0
3.29,0
3.30,0
3.32,0
3.33,0
3.34,0
3.35,0
3.38,0
3.39,0
3.41,0
3.42,0
3.43,0
3.44,0
3.46,0
3.47,0
3.48,0
3.50,0
3.51,0
3.52,0
3.53,0
3.54,0
3.55,0
3.57,0
3.58,0
3.59,0
3.60,0
3.62,0
3.63,0
3.64,0
3.66,0
3.68,0
3.69,0
3.70,0
3.71,0
3.72,0
3.73,0
3.75,0
3.76,0
3.77,0
3.78,0
3.80,0
3.81,0
3.82,0
3.84,0
3.87,0
3.88,0
3.89,0
3.90,0
3.91,0
3.93,0
3.94,0
3.95,0
3.96,0
3.98,0
3.99,0
4.00,0
4.02,0
4.03,0
4.04,0
4.06,0
4.08,0
4.09,0
4.10,0
4.11,0
4.13,0
4.14,0
4.15,0
4.16,0
4.17,0
4.19,0
4.20,0
4.21,0
4.23,0
4.24,0
4.25,0
4.26,0
4.27,0
4.29,0
4.30,0
4.31,0
4.34,0
4.35,0
4.37,0
4.38,0
4.39,0
4.41,0
4.42,0
4.43,0
4.44,0
4.46,0
4.47,0
4.48,0
4.49,0
4.50,0
4.51,0
4.53,0
4.54,0
4.55,0
4.56,0
4.58,0
4.59,0
4.60,0
4.61,0
4.62,0
4.64,0
4.65,0
4.66,0
4.67,0
4.69,0
4.70,0
4.71,0
4.72,0
4.73,0
4.75,0
4.76,0
4.77,0
4.79,0
4.82,0
4.83,0
4.85,0
4.86,0
4.87,0
4.88,0
4.89,0
4.91,0
4.92,0
4.93,0
4.94,0
4.96,0
4.97,0
4.98,0
4.99,0
5.01,0
5.02,0
5.03,0
5.05,0
5.06,0
5.07,0
5.08,0
5.09,0
5.11,0
5.12,0
5.13,0
5.14,0
5.16,0
5.17,0
5.19,0
5.20,0
5.21,0
5.22,0
5.23,0
5.25,0
5.26,0
5.29,0
5.30,0
5.32,0
5.33,0
5.34,0
5.36,0
5.37,0
5.38,0
5.39,0
5.40,0
5.41,0
5.43,0
5.44,0
5.45,0
5.46,0
5.47,0
5.49,0
5.50,0
5.51,0
5.52,0
5.54,0
5.55,0
5.56,0
5.57,0
5.58,0
5.59,0
5.61,0
5.62,0
5.63,0
5.64,0
5.65,0
5.67,0
5.68,0
5.69,0
5.70,0
5.72,0
5.73,0
5.76,0
5.77,0
5.79,0
5.80,0
5.81,0
5.82,0
5.83,0
5.85,0
5.86,0
5.87,0
5.88,0
5.90,0
5.91,0
5.92,0
5.93,0
5.94,0
5.96,0
5.97,0
5.98,0
5.99,0
6.00,0
6.01,0
6.03,0
6.04,0
6.05,0
6.06,0
6.08,0
6.10,0
6.11,0
6.12,0
6.14,0
6.15,0
6.16,0
6.17,0
6.18,0
6.19,0
6.21,0
6.23,0
6.25,0
6.26,0
6.27,0
6.28,0
6.30,0
