Time (seconds),analog_val
1.61,203
1.62,204
1.64,206
1.65,207
1.66,209
1.67,210
1.68,212
1.69,214
1.71,218
1.72,220
1.73,222
1.74,224
1.75,226
1.77,228
1.78,229
1.79,231
1.8,232
1.82,233
1.83,235
1.84,237
1.85,239
1.86,241
1.87,243
1.89,243
1.9,244
1.91,246
1.94,252
1.96,254
1.97,256
1.98,257
2,260
2.01,261
2.02,264
2.03,266
2.04,267
2.05,270
2.07,272
2.08,275
2.09,277
2.1,279
2.12,282
2.13,283
2.14,287
2.15,289
2.16,291
2.18,293
2.19,293
2.2,295
2.21,298
2.22,299
2.23,300
2.25,302
2.26,303
2.27,304
2.29,305
2.31,306
2.32,307
2.34,307
2.35,308
2.37,310
2.38,309
2.39,310
2.4,311
2.41,311
2.43,312
2.44,312
2.45,313
2.46,314
2.48,315
2.49,316
2.5,317
2.51,317
2.52,319
2.53,320
2.55,321
2.56,324
2.57,325
2.58,326
2.59,326
2.61,327
2.62,328
2.63,328
2.64,329
2.68,332
2.69,333
2.7,334
2.71,335
2.73,337
2.74,337
2.75,338
2.76,338
2.77,339
2.79,341
2.8,343
2.81,343
2.82,345
2.83,346
2.85,349
2.86,350
2.87,353
2.88,354
2.9,356
2.91,358
2.92,360
2.93,361
2.94,366
2.95,369
2.97,372
2.98,375
2.99,379
3,383
3.03,393
3.05,396
3.06,400
3.07,405
3.08,409
3.1,414
3.11,419
3.12,424
3.13,427
3.15,433
3.16,437
3.17,443
3.18,448
3.19,453
3.21,460
3.22,465
3.23,471
3.24,477
3.26,483
3.27,487
3.28,491
3.29,497
3.3,502
3.32,509
3.33,515
3.34,521
3.35,529
3.36,538
3.37,549
3.41,573
3.42,583
3.43,594
3.44,606
3.46,617
3.47,630
3.48,648
3.5,663
3.51,676
3.52,691
3.53,708
3.54,726
3.55,748
3.57,769
3.58,792
3.59,814
3.6,838
3.62,862
3.63,882
3.64,903
3.65,924
3.66,942
3.68,961
3.69,978
3.7,991
3.71,1008
3.72,1023
3.73,1023
3.77,1023
3.78,1023
3.79,1023
3.8,1023
3.82,1023
3.83,1023
3.84,1023
3.86,1023
3.87,1023
3.88,1023
3.89,1023
3.9,1023
3.91,1023
3.93,1023
3.94,1023
3.95,1023
3.96,1023
3.98,1023
3.99,1023
4,1023
4.01,1023
4.02,1023
4.04,1023
4.05,1023
4.06,1023
4.08,1023
4.11,1023
4.12,1023
4.13,1023
4.15,1023
4.16,1023
4.17,1023
4.18,1023
4.19,1023
4.21,1023
4.22,1023
4.24,1023
4.25,1023
4.26,1023
4.27,1023
4.29,1014
4.3,999
4.31,988
4.32,978
4.34,971
4.35,964
4.36,958
4.37,949
4.38,940
4.4,926
4.41,913
4.42,897
4.45,862
4.46,848
4.47,834
4.49,818
4.5,800
4.51,781
4.52,762
4.53,746
4.55,732
4.56,720
4.57,713
4.59,704
4.6,699
4.61,693
4.62,689
4.63,687
4.65,686
4.66,686
4.67,686
4.68,686
4.69,686
4.71,689
4.72,697
4.73,705
4.74,715
4.76,727
4.77,742
4.78,757
4.79,775
4.82,824
4.83,839
4.85,850
4.86,857
4.87,862
4.88,864
4.89,866
4.91,866
4.92,866
4.93,866
4.94,866
4.96,863
4.97,854
4.98,844
4.99,836
5.01,824
5.02,811
5.03,799
5.04,789
5.05,778
5.07,768
5.08,761
5.09,754
5.1,746
5.12,733
5.13,721
5.14,710
5.15,699
5.18,684
5.2,680
5.21,678
5.22,677
5.23,678
5.25,678
5.26,679
5.27,681
5.28,686
5.3,692
5.31,699
5.32,708
5.33,716
5.34,725
5.36,732
5.37,737
5.38,739
5.39,740
5.4,741
5.41,740
5.43,741
5.44,738
5.45,732
5.46,723
5.48,713
5.49,702
5.5,689
5.51,675
5.52,662
5.56,621
5.57,609
5.58,600
5.59,592
5.61,583
5.62,575
5.63,568
5.64,559
5.66,551
5.67,544
5.68,537
5.69,533
5.7,531
5.72,531
5.73,531
5.74,533
5.75,538
5.76,546
5.77,555
5.79,570
5.8,587
5.81,601
5.82,615
5.83,626
5.85,635
5.86,642
5.87,647
5.88,648
5.91,648
5.93,646
5.94,640
5.95,632
5.97,622
5.98,610
5.99,594
6,575
6.01,556
6.03,538
6.04,522
6.05,508
6.06,495
6.08,485
6.09,477
6.1,472
6.11,467
6.12,464
6.13,461
6.15,457
6.16,451
6.17,444
6.18,436
6.19,428
6.21,421
6.22,416
6.23,414
6.24,413
6.26,413
6.28,415
6.3,422
6.31,433
6.32,444
6.33,456
6.35,466
6.36,474
6.37,477
6.38,479
6.39,479
6.41,479
6.42,479
6.43,479
6.44,479
6.46,480
6.47,484
6.48,488
6.5,496
6.51,506
6.52,517
6.53,530
6.54,547
6.55,560
6.57,572
6.58,582
6.59,587
6.6,590
6.62,593
6.65,597
6.66,597
6.67,597
6.69,596
6.7,597
6.71,596
6.72,592
6.73,585
6.75,579
6.76,571
6.77,561
6.78,551
6.8,540
6.81,526
6.82,513
6.83,503
6.84,491
6.86,482
6.87,474
6.88,466
6.89,459
6.9,452
6.91,446
6.93,439
6.94,431
6.95,423
6.96,414
6.98,406
7.01,375
7.02,365
7.04,354
7.05,342
7.06,331
7.07,316
7.08,304
7.09,290
7.11,279
7.12,270
7.13,260
7.14,252
7.16,244
7.17,238
7.18,230
7.19,222
7.2,212
7.22,204
7.23,194
7.24,185
7.25,175
7.26,165
7.27,155
7.29,141
7.3,126
7.31,112
7.32,94
7.34,78
7.35,62
7.48,15
7.49,16
7.51,16
7.52,18
7.53,22
7.54,27
7.55,32
7.57,40
7.58,55
7.6,72
7.61,85
7.62,96
7.63,109
7.65,121
7.66,132
7.67,143
7.68,154
7.69,166
7.71,179
7.72,193
7.73,204
7.74,215
7.76,228
7.77,240
7.78,249
7.79,259
7.8,271
7.81,280
7.83,291
7.84,300
7.87,323
7.88,331
7.9,338
7.91,346
7.92,355
7.93,362
7.95,374
7.96,381
7.97,390
7.98,398
7.99,409
8.01,418
8.02,428
8.03,439
8.04,449
8.05,459
8.07,468
8.08,479
8.09,489
8.1,501
8.11,512
8.13,524
8.14,535
8.15,548
8.16,558
8.17,568
8.19,579
8.2,588
8.23,612
8.24,620
8.25,628
8.27,634
8.28,638
8.29,642
8.3,642
8.31,642
8.33,642
8.34,642
8.35,640
8.37,636
8.38,630
8.39,620
8.4,613
8.41,604
8.43,593
8.44,584
8.45,575
8.46,568
8.48,559
8.49,552
8.5,545
8.51,535
8.52,526
8.54,518
8.55,510
8.56,502
8.57,492
8.6,460
8.61,447
8.63,435
8.64,423
8.65,413
8.66,402
8.68,390
8.69,376
8.7,361
8.72,346
8.73,330
8.74,316
8.75,303
8.76,290
8.77,277
8.79,265
8.8,250
8.81,237
