Time (seconds),temperature
3.54,23.2258
3.55,23.54838
3.56,23.2258
3.57,23.54838
3.59,23.54838
3.60,23.54838
3.61,23.2258
3.62,23.2258
3.64,23.2258
3.65,23.2258
3.67,23.2258
3.68,23.2258
3.70,23.2258
3.71,23.2258
3.73,23.2258
3.74,23.2258
3.75,23.2258
3.77,23.2258
3.80,23.2258
3.81,23.2258
3.82,23.54838
3.84,23.54838
3.86,23.2258
3.87,23.2258
3.89,23.2258
3.90,23.2258
3.91,23.2258
3.93,23.2258
3.94,23.2258
3.95,22.90322
3.96,23.2258
3.98,23.2258
3.99,23.2258
4.00,23.2258
4.02,23.2258
4.04,23.2258
4.05,23.2258
4.08,23.2258
4.10,23.2258
4.11,23.2258
4.12,23.2258
4.13,23.2258
4.15,23.2258
4.16,23.2258
4.17,23.2258
4.19,23.2258
4.20,23.2258
4.22,23.2258
4.23,23.2258
4.25,23.2258
4.26,23.2258
4.28,23.2258
4.29,23.2258
4.31,23.2258
4.32,23.2258
4.33,23.2258
4.34,23.54838
4.38,23.2258
4.39,23.2258
4.41,23.2258
4.42,23.2258
4.44,23.2258
4.46,23.54838
4.47,23.2258
4.48,23.2258
4.49,23.54838
4.51,23.2258
4.52,23.2258
4.53,23.2258
4.54,23.54838
4.56,23.2258
4.57,23.2258
4.58,23.2258
4.60,23.2258
4.61,23.2258
4.63,23.2258
4.66,23.2258
4.67,23.2258
4.69,23.2258
4.70,23.2258
4.71,23.2258
4.72,23.2258
4.74,23.2258
4.75,23.2258
4.77,23.2258
4.78,23.2258
4.80,23.2258
4.82,23.2258
4.83,23.2258
4.84,23.2258
4.85,23.2258
4.87,23.2258
4.88,23.2258
4.89,23.2258
4.90,23.2258
4.92,23.2258
4.95,23.54838
4.96,23.2258
4.98,23.54838
4.99,23.54838
5.01,23.2258
5.02,23.54838
5.04,23.2258
5.05,23.54838
5.06,23.54838
5.07,23.2258
5.09,23.54838
5.10,23.54838
5.11,23.54838
5.13,23.2258
5.14,23.54838
5.16,23.2258
5.17,23.2258
5.19,23.54838
5.20,23.54838
5.24,23.2258
5.25,23.2258
5.26,23.2258
5.27,23.2258
5.29,23.2258
5.30,23.2258
5.32,23.2258
5.33,23.2258
5.35,23.54838
5.36,23.2258
5.38,23.2258
5.39,23.2258
5.41,23.54838
5.42,23.2258
5.43,23.2258
5.44,23.2258
5.45,23.54838
5.47,23.54838
5.48,23.54838
5.51,23.54838
5.53,23.2258
5.54,23.54838
5.56,23.2258
5.57,23.2258
5.58,23.54838
5.59,23.2258
5.61,23.2258
5.62,23.54838
5.63,23.54838
5.64,23.2258
5.66,23.2258
5.67,23.2258
5.68,23.54838
5.70,23.2258
5.72,23.2258
5.73,23.54838
5.75,23.54838
5.76,23.54838
5.79,23.2258
5.81,23.2258
5.82,23.54838
5.83,23.2258
5.85,23.2258
5.86,23.54838
5.88,23.2258
5.90,23.54838
5.91,23.54838
5.93,23.54838
5.94,23.2258
5.96,23.2258
5.97,23.2258
5.98,23.2258
5.99,23.54838
6.01,23.2258
6.02,23.2258
6.03,23.2258
6.04,23.2258
6.08,23.2258
6.09,23.2258
6.11,23.2258
6.12,23.54838
