Time (seconds),uv
4.66,0.0
4.68,0.0
4.69,0.0
4.71,0.0
4.72,0.0
4.73,0.0
4.74,0.0
4.75,0.0
4.77,0.0
4.78,0.0
4.79,0.0
4.80,0.0
4.82,0.0
4.83,0.0
4.84,0.0
4.85,0.0
4.86,0.0
4.88,0.0
4.89,0.0
4.90,0.0
4.91,0.0
4.92,0.0
4.93,0.0
4.95,0.0
4.96,0.0
4.97,0.0
4.98,0.0
5.01,0.0
5.03,0.0
5.04,0.0
5.06,0.0
5.07,0.0
5.09,0.0
5.10,0.0
5.11,0.0
5.12,0.0
5.13,0.0
5.15,0.0
5.16,0.0
5.17,0.0
5.18,0.0
5.20,0.0
5.21,0.0
5.22,0.0
5.24,0.0
5.25,0.0
5.26,0.0
5.27,0.0
5.28,0.0
5.29,0.0
5.31,0.0
5.32,0.0
5.33,0.0
5.34,0.0
5.35,0.0
5.39,0.0
5.40,0.0
5.42,0.0
5.43,0.0
5.44,0.0
5.45,0.0
5.46,0.0
5.47,0.0
5.49,0.0
5.50,0.0
5.51,0.0
5.52,0.0
5.54,0.0
5.55,0.0
5.56,0.0
5.57,0.0
5.58,0.0
5.60,0.0
5.61,0.0
5.62,0.0
5.63,0.0
5.65,0.0
5.66,0.0
5.67,0.0
5.68,0.0
5.69,0.0
5.71,0.0
5.72,0.0
5.73,0.0
5.76,0.0
5.78,0.0
5.79,0.0
5.80,0.0
5.81,0.0
5.82,0.0
5.83,0.0
5.85,0.0
5.86,0.0
5.87,0.0
5.88,0.0
5.89,0.0
5.91,0.0
5.92,0.0
5.93,0.0
5.94,0.0
5.96,0.0
5.97,0.0
5.98,0.0
5.99,0.0
6.00,0.0
6.01,0.0
6.03,0.0
6.04,0.0
6.05,0.0
6.06,0.0
6.07,0.0
6.09,0.0
6.12,0.0
6.13,0.0
6.15,0.0
6.16,0.0
6.18,0.0
6.19,0.0
6.21,0.0
6.22,0.0
6.23,0.0
6.24,0.0
6.25,0.0
6.27,0.0
6.28,0.0
6.29,0.0
6.30,0.0
6.32,0.0
6.33,0.0
6.34,0.0
6.35,0.0
6.36,0.0
6.38,0.0
6.39,0.0
6.40,0.0
6.41,0.0
6.42,0.0
6.43,0.0
6.45,0.0
6.46,0.0
6.47,0.0
6.50,0.0
6.52,0.0
6.53,0.0
6.54,0.0
6.56,0.0
6.57,0.0
6.58,0.0
6.59,0.0
6.60,0.0
6.61,0.0
6.63,0.0
6.64,0.0
6.65,0.0
6.66,0.0
6.67,0.0
6.69,0.0
6.70,0.0
6.71,0.0
6.72,0.0
6.73,0.0
6.75,0.0
6.76,0.0
6.77,0.0
6.78,0.0
6.79,0.0
6.81,0.0
6.82,0.0
6.83,0.0
6.86,0.0
6.88,0.0
6.89,0.0
6.90,0.0
6.92,0.0
6.93,0.0
6.94,0.0
6.95,0.0
6.96,0.0
6.97,0.0
6.99,0.0
7.00,0.0
7.01,0.0
7.02,0.0
7.04,0.0
7.05,0.0
7.06,0.0
7.08,0.0
7.09,0.0
7.11,0.0
7.12,0.0
7.13,0.0
7.14,0.0
7.15,0.0
7.17,0.0
7.18,0.0
7.19,0.0
7.20,0.0
7.22,0.0
7.25,0.0
7.26,0.0
7.28,0.0
7.29,0.0
7.30,0.0
7.31,0.0
7.32,0.0
7.33,0.0
7.35,0.0
7.36,0.0
7.37,0.0
7.38,0.0
7.40,0.0
7.41,0.0
7.42,0.0
7.43,0.0
7.44,0.0
7.46,0.0
7.47,0.0
7.48,0.0
7.49,0.0
7.50,0.0
7.51,0.0
7.53,0.0
7.54,0.0
7.55,0.0
7.56,0.0
7.58,0.0
7.61,0.0
7.62,0.0
7.64,0.0
7.65,0.0
7.67,0.0
7.68,0.0
7.69,0.0
7.71,0.0
7.72,0.0
7.73,0.0
7.74,0.0
7.75,0.0
7.77,0.0
7.78,0.0
7.79,0.0
7.80,0.0
7.82,0.0
7.83,0.0
7.84,0.0
7.85,0.048
7.87,0.024
7.88,0.048
7.89,0.048
7.91,0.048
7.92,0.048
7.93,0.048
7.94,0.072
7.98,0.096
7.99,0.072
8.01,0.072
8.02,0.072
8.03,0.072
8.05,0.072
8.06,0.048
8.07,0.072
8.09,0.048
8.10,0.072
8.11,0.048
8.12,0.072
8.13,0.048
8.15,0.072
8.16,0.072
8.18,0.072
8.19,0.072
8.20,0.096
8.22,0.096
8.23,0.096
8.25,0.072
8.26,0.072
8.27,0.096
8.30,0.12
8.31,0.12
8.33,0.12
8.34,0.144
8.35,0.12
8.37,0.072
8.38,0.096
8.40,0.12
8.42,0.096
8.43,0.072
8.45,0.12
8.46,0.12
8.47,0.12
8.48,0.096
8.49,0.096
8.51,0.12
8.52,0.096
8.53,0.144
8.55,0.144
8.56,0.12
8.57,0.144
8.59,0.12
8.60,0.168
8.62,0.12
8.64,0.168
8.66,0.144
8.67,0.144
8.68,0.192
8.70,0.168
8.71,0.144
8.72,0.168
8.74,0.168
8.75,0.192
8.76,0.216
8.78,0.168
8.80,0.24
8.81,0.216
8.82,0.216
8.83,0.24
8.85,0.216
8.86,0.264
8.87,0.216
8.88,0.192
8.90,0.288
8.91,0.24
8.92,0.288
8.94,0.288
8.96,0.24
8.99,0.336
9.00,0.336
9.01,0.336
9.03,0.36
9.04,0.36
9.05,0.288
9.06,0.312
9.08,0.336
9.09,0.312
9.11,0.36
9.12,0.36
9.14,0.432
9.15,0.408
9.17,0.408
9.18,0.408
9.19,0.48
9.21,0.456
9.22,0.456
9.23,0.432
9.24,0.456
9.26,0.456
9.27,0.48
9.28,0.456
9.29,0.432
9.32,0.456
9.34,0.504
9.35,0.456
9.36,0.504
9.38,0.528
9.39,0.456
9.40,0.48
9.41,0.528
9.43,0.48
9.44,0.48
9.45,0.552
9.46,0.528
9.48,0.48
9.49,0.456
9.51,0.528
