Time (seconds),water_level
18.04,0.0
18.05,0.0
18.06,0.0
18.07,0.0
18.09,0.0
18.10,0.0
18.11,0.0
18.13,0.0
18.14,0.0
18.16,0.0
18.17,0.0
18.18,0.0
18.20,0.0
18.21,0.0
18.22,0.0
18.23,0.0
18.25,0.0
18.26,0.0
18.27,0.0
18.28,0.0
18.30,0.0
18.31,0.0
18.32,0.0
18.35,0.0
18.36,0.0
18.38,0.0
18.39,0.0
18.41,0.0
18.42,0.0
18.43,0.0
18.44,0.0
18.45,0.0
18.47,0.0
18.48,0.0
18.49,0.0
18.51,0.4285714
18.52,1.857143
18.54,3.285714
18.55,5.0
18.57,8.0
18.58,9.428572
18.59,10.71429
18.60,11.85714
18.62,13.0
18.63,14.42857
18.66,18.0
18.68,18.57143
18.69,21.0
18.71,22.42857
18.72,23.42857
18.74,25.71429
18.76,25.85714
18.77,26.28572
18.78,27.0
18.79,27.57143
18.81,27.71429
18.82,27.71429
18.83,27.71429
18.85,28.14286
18.86,28.85714
18.88,31.0
18.89,32.0
18.91,33.28571
18.92,34.14286
18.95,36.71429
18.96,37.85714
18.97,38.85714
18.99,38.71429
19.00,38.71429
19.01,38.71429
19.03,39.28572
19.04,44.14286
19.06,44.42857
19.08,47.71429
19.09,48.85715
19.11,49.71429
19.12,49.71429
19.14,49.85714
19.15,50.0
19.16,50.0
19.17,49.85714
19.21,52.14286
19.22,53.57143
19.24,54.28571
19.26,54.85714
19.27,56.0
19.29,56.57143
19.30,57.42857
19.32,58.28571
19.33,59.42857
19.35,60.14286
19.36,60.28572
19.37,59.85714
19.39,59.71429
19.40,59.42857
19.41,59.71429
19.43,60.71429
19.44,61.57143
19.46,61.42857
19.49,61.14286
19.51,61.57143
19.52,62.71429
19.53,64.28571
19.54,65.42858
19.55,65.57143
19.57,65.14286
19.58,64.71429
19.60,64.42857
19.61,64.14286
19.63,64.0
19.64,64.42857
19.66,64.85714
19.67,65.14286
19.69,65.14286
19.70,65.28572
19.71,65.71429
19.74,66.0
19.76,66.0
19.77,66.14286
19.78,66.28572
19.80,66.85714
19.82,67.71429
19.83,68.0
19.84,68.0
19.86,67.71429
19.88,67.28571
19.89,67.14286
19.90,67.0
19.91,67.42857
19.93,67.85714
19.94,68.0
19.95,68.14286
19.97,68.14286
19.98,68.71429
20.00,69.42857
20.03,69.71429
20.05,69.57143
20.06,69.57143
20.07,69.57143
20.09,69.57143
20.10,69.71429
20.11,69.71429
20.12,69.71429
20.14,69.42857
20.15,69.42857
20.17,69.57143
20.18,69.85714
20.20,70.0
20.21,70.14286
20.23,70.42858
20.24,71.14286
20.26,72.0
20.29,72.28571
20.30,72.28571
20.31,72.28571
20.33,72.14286
20.34,72.28571
20.36,72.42857
20.37,72.57143
20.39,73.0
20.40,73.28571
20.42,73.71429
20.43,74.42857
20.45,74.71429
20.46,75.14286
20.47,75.42858
20.48,75.42858
20.49,75.42858
20.51,75.28572
20.52,75.14286
20.55,75.28572
20.57,75.42858
20.58,75.57143
20.60,76.0
20.62,76.28572
